"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Dec 10 03:08:36 GMT 2024","Tue Dec 10 03:08:36 GMT 2024","9","webkit","homePage.test.js","Home Page","","","The Page Header should be equal with 'Swag Labs'",""
"passed","Tue Dec 10 03:08:22 GMT 2024","Tue Dec 10 03:08:23 GMT 2024","1142","chrome","example.test.js","Playwright Test Example","","","Main Page should contain ""Playwright"" title",""
"passed","Tue Dec 10 03:08:26 GMT 2024","Tue Dec 10 03:08:29 GMT 2024","2876","firefox","example.test.js","Playwright Test Example","","","Main page component should be loaded",""
"passed","Tue Dec 10 03:08:30 GMT 2024","Tue Dec 10 03:08:31 GMT 2024","1092","firefox","homePage.test.js","Home Page","","","The Login Form should exist and be accessible",""
"passed","Tue Dec 10 03:08:29 GMT 2024","Tue Dec 10 03:08:30 GMT 2024","1311","firefox","homePage.test.js","Home Page","","","The Page Header should be equal with 'Swag Labs'",""
"failed","Tue Dec 10 03:08:38 GMT 2024","Tue Dec 10 03:08:38 GMT 2024","6","webkit","homePage.test.js","Home Page","","","User must be able to interact with the input form",""
"failed","Tue Dec 10 03:08:34 GMT 2024","Tue Dec 10 03:08:34 GMT 2024","11","webkit","example.test.js","Playwright Test Example","","","Main page component should be loaded",""
"failed","Tue Dec 10 03:08:34 GMT 2024","Tue Dec 10 03:08:34 GMT 2024","9","webkit","example.test.js","Playwright Test Example","","","Main Page should contain ""Playwright"" title",""
"passed","Tue Dec 10 03:08:25 GMT 2024","Tue Dec 10 03:08:26 GMT 2024","580","chrome","homePage.test.js","Home Page","","","The Login Form should exist and be accessible",""
"passed","Tue Dec 10 03:08:30 GMT 2024","Tue Dec 10 03:08:32 GMT 2024","1716","firefox","homePage.test.js","Home Page","","","User must be able to interact with the input form",""
"passed","Tue Dec 10 03:08:25 GMT 2024","Tue Dec 10 03:08:25 GMT 2024","594","chrome","homePage.test.js","Home Page","","","The Page Header should be equal with 'Swag Labs'",""
"passed","Tue Dec 10 03:08:25 GMT 2024","Tue Dec 10 03:08:26 GMT 2024","629","chrome","homePage.test.js","Home Page","","","User must be able to interact with the input form",""
"passed","Tue Dec 10 03:08:22 GMT 2024","Tue Dec 10 03:08:24 GMT 2024","1644","chrome","example.test.js","Playwright Test Example","","","Main page component should be loaded",""
"passed","Tue Dec 10 03:08:26 GMT 2024","Tue Dec 10 03:08:28 GMT 2024","1975","firefox","example.test.js","Playwright Test Example","","","Main Page should contain ""Playwright"" title",""
"failed","Tue Dec 10 03:08:36 GMT 2024","Tue Dec 10 03:08:36 GMT 2024","9","webkit","homePage.test.js","Home Page","","","The Login Form should exist and be accessible",""
