"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Inventory","Inventory/ Purchase","User should be able to interact with item list purchase","0","1","2","0","0"
"Inventory","Purchase","User should be able to interact with item list purchase","0","1","2","0","0"
"Login","Home/ Login Form","Smoke Testing: Home Page","0","0","1","0","0"
"Login","Login","Smoke Testing: Home Page","0","0","1","0","0"
"Home","Home/ Header","Smoke Testing: Home Page","0","0","1","0","0"
"Home","Home","Smoke Testing: Home Page","0","0","3","0","0"
"","","","0","0","2","0","0"
"Home","Home/ Login Form","Smoke Testing: Home Page","0","0","1","0","0"
"Home","Home/ Login Information","Smoke Testing: Home Page","0","0","1","0","0"
"Complex","Checkout/ Completion","Checkout item processes with removal should be works properly","0","0","1","0","0"
"Complex","Purchase","Checkout item processes with removal should be works properly","0","0","1","0","0"
"Complex","Checkout","Checkout item processes with removal should be works properly","0","0","1","0","0"
"Complex","Checkout/ Customer Info","Checkout item processes with removal should be works properly","0","0","1","0","0"
"Complex","Inventory/ Purchase","Checkout item processes with removal should be works properly","0","0","1","0","0"
"Complex","Your Cart/ Checkout","Checkout item processes with removal should be works properly","0","0","1","0","0"
"Complex","Checkout/ Overview","Checkout item processes with removal should be works properly","0","0","1","0","0"
