"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Nov 30 12:50:21 GMT 2024","Sat Nov 30 12:50:31 GMT 2024","10182","tests.inventory_test","test_item_purchase","TestCheckoutItemMatch","","","The item chart should be equal to '4' when user adding 4 items",""
"passed","Sat Nov 30 12:49:51 GMT 2024","Sat Nov 30 12:49:51 GMT 2024","328","tests.inventory_test","test_item_purchase","TestCheckoutItemMatch","","","The item chart should be equal to '2' when user adding 2 items",""
"passed","Sat Nov 30 12:49:50 GMT 2024","Sat Nov 30 12:49:50 GMT 2024","443","tests.inventory_test","test_item_purchase","TestCheckoutItemMatch","","","The item chart should be equal to '3' when user adding 3 items",""
"passed","Sat Nov 30 12:49:48 GMT 2024","Sat Nov 30 12:49:49 GMT 2024","621","tests.login_test","test_login_init","TestLoginAction","","","User should be navigated to the Inventory page after successful login attempt",""
"passed","Sat Nov 30 12:49:48 GMT 2024","Sat Nov 30 12:49:49 GMT 2024","144","tests.home_test","test_home_init","TestSmokeHomePage","","","The Page Header should be equal with ""Swag Labs""",""
"passed","Sat Nov 30 12:49:52 GMT 2024","Sat Nov 30 12:49:53 GMT 2024","924","tests","test_example","","","","test_get_started_link",""
"passed","Sat Nov 30 12:49:50 GMT 2024","Sat Nov 30 12:49:51 GMT 2024","209","tests.home_test","test_home_init","TestSmokeHomePage","","","The Login Form should be exist and accessible",""
"passed","Sat Nov 30 12:49:48 GMT 2024","Sat Nov 30 12:49:49 GMT 2024","414","tests.home_test","test_home_init","TestSmokeHomePage","","","The Login Information should be displayed and contains the correct information",""
"passed","Sat Nov 30 12:49:50 GMT 2024","Sat Nov 30 12:49:51 GMT 2024","646","tests","test_example","","","","test_has_title",""
"passed","Sat Nov 30 12:49:52 GMT 2024","Sat Nov 30 12:49:53 GMT 2024","953","tests","test_hybrid_complex","TestPurchasingFlow","","","User should be able to reach complete checkout screen after purchased item removal",""
